№ п/п;"№ Відділення ТОВ ""ЕПС""";Область;Район в обл.;Індекс;Тип населеного пункту;Населений пункт;Район в місті;Тип вулиці;Адреса;Номер будинку;Дата признчення керівника;модель РРО;Заводський № РРО;2;koatu1;koatu2
966;1890037;Чернігівська;;16600;м.;Ніжин;;вулиця;Гоголя; 2-А, приміщення 34;;;;16600, Чернігівська обл., м.Ніжин, вул.Гоголя, 2-А, приміщення 34;7410400000;UA74040250000063494
967;1890038;Полтавська;Пирятинський;37000;м.;Пирятин;;вулиця;Соборна;17;;;;37000, Полтавська обл., Пирятинський р-н., м.Пирятин, вул.Соборна, 17;5323810100;UA53040090000048649
968;1890039;Черкаська;;20301;м.;Умань;;вулиця;Небесної Сотні;7, приміщення 2;;;;20301, Черкаська обл., м.Умань, вул.Небесної Сотні, 7, приміщення 2;7110800000;UA71060210000032972
969;1890040;Івано-Франківська;Надвірнянський;78405;м.;Надвірна;;вулиця;Чорновола;4;;;;78405, Івано-Франківська обл., Надвірнянський р-н., м.Надвірна, вул.Чорновола, 4;2624010100;UA26120070000067596
970;1890041;Львівська;;82100;м.;Дрогобич;;площа;Ринок;21;;;;82100, Львівська обл., м.Дрогобич, площа Ринок, 21;4610600000;UA46020030000019252
971;1890042;Рівненська;;34403;м.;Вараш;;;Майдан Незалежності;10;;;;34403, Рівненська обл., м.Вараш, Майдан Незалежності, 10;5610700000;UA56020030000068439
972;1890043;Рівненська;;33028;м.;Рівне;;вулиця;КОРОЛЕНКА;1;;;;33028, Рівненська обл., м.Рівне, вул.Короленка, 1;5610100000;UA56060470000086729
973;1890044;Дніпропетровська;;53408;м.;Марганець;;вулиця;Лермонтова;25-А;;;;53408, Дніпропетровська обл., м.Марганець, вул.Лермонтова, 25-А;1211300000;UA12080010000029838
974;1890045;Полтавська;;37500;м.;Лубни;;проспект;Володимирський;42/1;;;;37500, Полтавська обл., м.Лубни, проспект Володимирський, 42/1;5310700000;UA53040030000088898
975;1890046;Рівненська;;35603;м.;Дубно;;вулиця;Данила Галицького;3;;;;35603, Рівненська обл., м.Дубно, вул.Данила Галицького, 3;5610300000;UA56040110000061997
976;1890047;Хмельницька;;30411;м.;Шепетівка;;проспект;Миру;30;;;;30411,Хмельницька обл., м.Шепетівка, проспект Миру, 30;6810700000;UA68060330000029010
977;1890048;Донецька;;84205;м.;Дружківка;;вулиця;Соборна;11;;;;84205, Донецька обл., м.Дружківка, вул.Соборна, 11;1411700000;UA14120030000057882
978;1890049;Харківська;Зміївський;63460;смт.;Слобожанське;;;вул.Ціолковського, 15/ вул.Закори, 14;;;;;63460, Харківська обл., Зміївський р-н, смт.Слобожанське, вул.Ціолковського, 15/ вул.Закори, 14;6321755600;UA63140110000087562
979;1890050;Вінницька;;87505;м.;Жмеринка;;вулиця;ПУШКІНА;5;;;;87505, Вінницька обл., м.Жмеринка, вул.Пушкіна, 5;0510300000;UA05060050000058111
980;1890051;Дніпропетровська;;49100;м.;Дніпро;Соборний;проспект;Героїв;3;;;;49100, Дніпропетровська обл., м.Дніпро, Соборний р-н,  проспект Героїв, 3;1210136900;UA12020010010512802
981;1890052;Дніпропетровська;;49107;м.;Дніпро;Шевченківський;бульвар;Зоряний;1-А;;;;49107, Дніпропетровська обл., м.Дніпро, Шевченківський р-н, бульвар Зоряний, 1-А;1210136600;UA12020010010816623
982;1890053;Київська;;09107;м.;Біла Церква;;вулиця;Ярослава Мудрого;40;;;;09107, Київська обл., м.Біла Церква, вул.Ярослава Мудрого, 40;3210300000;UA32020010000093088
983;1890054;Хмельницька;;29019;м.;Хмельницький;;вулиця;Степана Бандери;2-А;;;;29019 , Хмельницька обл., м.Хмельницький, вул.Степана Бандери, 2-А;6810100000;UA68040470000053519
984;1890055;Дніпропетровська;;49051;м.;Дніпро;Індустріальний;вулиця;Калинова;9-А;;;;49051, Дніпропетровська обл., м.Дніпро, Індустріальний р-н, вул.Калинова, 9-А;1210137200;UA12020010010231764
985;1890056;Херсонська;;73008;м.;Херсон;Дніпровський;вулиця;Залаегерсег;18;;;;73008, Херсонська обл., м.Херсон, Дніпровський р-н, вул.Залаегерсег, 18;6510136300;UA65100150010123057
986;1890057;Дніпропетровська;;49010;м.;Дніпро;Соборний;вулиця;Кюрі Марії;5;;;;49010, Дніпропетровська обл., м.Дніпро, Соборний р-н, вул.Кюрі Марії, 5;1210136900;UA12020010010512802
987;1890058;Запорізька;;69002;м.;Запоріжжя;Олександрівський;;проспект Соборний, 83-85/ вул.Поштова, 88-90, 90-А;;;;;69002, Запорізька обл., м.Запоріжжя, Олександрівський р-н,  проспект Соборний, 83-85/ вул.Поштова, 88-90, 90-А;2310136300;UA23060070010595678
988;1890059;;;04208;м.;Київ;Подільський;проспект;Правди;47;;;;04208, м.Київ, Подільський р-н, проспект Правди, 47;8038500000;UA80000000000719633
989;1890060;Полтавська;;39600;м.;Кременчук;Автозаводський;вулиця;Небесної сотні;3-А;;;;39600, Полтавська обл., м.Кременчук, Автозаводський р-н,  вул.Небесної Сотні, 3-А;5310436100;UA53020110010112104
990;1890061;;;02121;м.;Київ;Дарницький;проспект;Миколи Бажана;3-В;;;;02121, м.Київ, Дарницький р-н., проспект Миколи Бажана, 3-В;8036300000;UA80000000000210193
991;1890062;;;02222;м.;Київ;Деснянський;проспект;МАЯКОВСЬКОГО;43/2;;;;02222, м.Київ, Деснянський р-н., проспект Маяковського, 43/2;8036400000;UA80000000000336424
992;1890063;;;03057;м.;Київ;Солом`янський;проспект;Перемоги;47-А;;;;03057, м.Київ, Солом`янський р-н., проспект Перемоги, 47-А;8038900000;UA80000000000980793
993;1890064;;;03150;м.;Київ;Голосіївський;вулиця;Велика Васильківська;72;;;;03150, м.Київ, Голосіївський р-н., вул.Велика Васильківська, 72;8036100000;UA80000000000126643
994;1890065;;;03150;м.;Київ;Печерський;вулиця;Велика Васильківська;143/2;;;;03150, м.Київ, Печерський р-н.,  вул.Велика Васильківська, 143/2;8038200000;UA80000000000624772
995;1890066;;;02100;м.;Київ;Дніпровський;вулиця;Будівельників;40;;;;02100, м.Київ, Дніпровський р-н., вул.Будівельників, 40;8036600000;UA80000000000479391
996;1890067;;;02094;м.;Київ;Деснянський;вулиця;ПОПУДРЕНКА;65;;;;02094, м.Київ, Деснянський р-н.,  вул.Попудренка, 65;8036400000;UA80000000000336424
997;1890068;Вінницька;;21001;м.;Вінниця;;проспект;Коцюбинського;4;;;;21001, Вінницька обл, м.Вінниця, проспект Коцюбинського, 4;0510100000;UA05020030000031457
998;1890069;Запорізька;;69019;м.;Запоріжжя;Вознесенівський;проспект;СОБОРНИЙ;147;;;;69019, Запорізька обл., м.Запоріжжя, Вознесенівський р-н, проспект Соборний, 147;2310137200;UA23060070010154443
999;1890070;;;04212;м.;Київ;Оболонський;вулиця;Маршала Малиновського;12-А;;;;04212, м.Київ, Оболонський р-н, вул.Маршала Малиновського, 12-А;8038000000;UA80000000000551439
1000;1890071;Чернівецька;;58032;м.;Чернівці;;вулиця;Головна;265-А;;;;58032, Чернівецька обл., м.Чернівці, вул.Головна, 265-А;7310100000;UA73060610000066784
1001;1890072;Тернопільська;;46004;м.;Тернопіль;;вулиця;Текстильна;28-Ч;;;;46004, Тернопільська обл., м.Тернопіль, вул.Текстильна, 28-Ч;6110100000;UA61040490000035010
1002;1890073;Волинська;;43021;м.;Луцьк;;вулиця;Сухомлинського;1;;;;43021, Волинська обл., м.Луцьк, вул.Сухомлинського, 1;0710100000;UA07080170000013585
1003;1890074;;;02222;м.;Київ;Деснянський;вулиця;Миколи Лаврухіна;4;;;;02222, м.Київ, Деснянський р-н, вул.Миколи Лаврухіна, 4;8036400000;UA80000000000336424
1004;1890075;;;02094;м.;Київ;Деснянський;вулиця;ГНАТА ХОТКЕВИЧА;1-В;;;;02094, м.Київ, Деснянський р-н,  вул.Гната Хоткевича, 1-В;8036400000;UA80000000000336424
1005;1890076;Дніпропетровська;;50067;м.;Кривий Ріг;Саксаганський;площа;30-річчя Перемоги;1;;;;50067, Дніпропетровська обл., м.Кривий Ріг, Саксаганський р-н,  площа 30-річчя Перемоги, 1;1211037000;UA12060170010585703
