num;department;termial;serial_number;address;datalog;kind
61;1010001;10100013;FK80231075;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;15.01.2022;rro
62;1010110;10101101;КМ00004833;08304, Київська обл., місто Бориспіль, ВУЛИЦЯ ГОЛОВАТОГО, будинок 83;15.01.2022;pereezd
63;1010110;10101101;КМ00004833;08304, Київська обл., місто Бориспіль, ВУЛИЦЯ ГОЛОВАТОГО, будинок 83;15.01.2022;rro
64;1010001;10100011;КС00002392;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;15.01.2022;pereezd
65;1010002;10100021;КС00002390;81097, Львівська обл., Яворівський район, село Підрясне, ВУЛИЦЯ ЄВРОПЕЙСЬКА , будинок 13;15.01.2022;pereezd
66;1010002;10100021;КС00002390;81097, Львівська обл., Яворівський район, село Підрясне, ВУЛИЦЯ ЄВРОПЕЙСЬКА , будинок 13;16.01.2022;rro
67;1010001;10100011;КС00002392;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;16.01.2022;prro
68;1010002;10100021;КС00002390;81097, Львівська обл., Яворівський район, село Підрясне, ВУЛИЦЯ ЄВРОПЕЙСЬКА , будинок 13;16.01.2022;prro
69;1010001;10100011;КС00002392;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;16.01.2022;rro
70;1010002;10100021;КС00002390;81097, Львівська обл., Яворівський район, село Підрясне, ВУЛИЦЯ ЄВРОПЕЙСЬКА , будинок 13;16.01.2022;rro
71;1010001;10100011;КС00002392;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;16.01.2022;rro
72;1010002;10100021;КС00002390;81097, Львівська обл., Яворівський район, село Підрясне, ВУЛИЦЯ ЄВРОПЕЙСЬКА , будинок 13;16.01.2022;rro
73;1010001;10100011;КС00002392;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;16.01.2022;rro
74;1010110;10101101;КМ00004833;08304, Київська обл., місто Бориспіль, ВУЛИЦЯ ГОЛОВАТОГО, будинок 83;18.01.2022;prro
75;1010110;10101101;КМ00004833;08304, Київська обл., місто Бориспіль, ВУЛИЦЯ ГОЛОВАТОГО, будинок 83;18.01.2022;pereezd
76;1010110;10101101;КМ00004833;08304, Київська обл., місто Бориспіль, ВУЛИЦЯ ГОЛОВАТОГО, будинок 83;18.01.2022;rro
77;1010110;10101101;КМ00004833;08304, Київська обл., місто Бориспіль, ВУЛИЦЯ ГОЛОВАТОГО, будинок 83;18.01.2022;rro
78;1010110;10101101;КМ00004833;08304, Київська обл., місто Бориспіль, ВУЛИЦЯ ГОЛОВАТОГО, будинок 83;18.01.2022;pereezd
